Título,Estrelas,Comentarios
Muito bom,5,"Eu e meu marido fomos no dia dos namorados, sabíamos que haveria fila (e muito grande), mas o atendimento foi impecável, não deixou a desejar. Pedimos pastel de camarão, camarão aos quatro queijos no pão italiano, caipirosca de frutas vermelhas e cerveja. Estava tudo muito gostoso, nenhuma crítica."
PERFEITO,5,Comida e atendimento excelentes! O ideal é ir cedo e evitar fins de semana para não aguardar nas filas!! Bom preço para os pratos que oferece!
Excelente restaurante,4,"O restaurante é excelente, muito bem localizado, muita variedade no cardápio e atendimento de primeira.  Entretanto, o prato que pedi era risoto, e o arroz não era arbóreo. Era arroz branco com os ingredientes e alguns ingredientes ficaram sem gosto. Infelizmente.  Recomendo a sobremesa de sorvete de queijo com goiabada!"
Maravilhoso,5,"O cardápio é bem variado, e os pratos maravilhosos! Atendimento e ambiente excelentes! Conhecemos os dois restaurantes e ambos são impecáveis!"
Excelencia em gastronomia,5,"O melhor restaurante de Natal RN,    um dos melhores do Brasil.  Recomento.  Principalmente nos pratos de camarões.,   mas também em outras especialidades,  não fica devendo nada para os melhores,   em  carnes  e massas."
Delicioso,5,"O melhor restaurante que fomos em Natal! Cardápio, ambiente e atendimento nota 10. Preço condizente com o que oferecem"
VALE A FAMA,4,"Ótimo ambiente , atendimento e principalmente a comida desde os pastéis ao camarão, mas poderia ter pratos individuais pois é muito bem servido"
Show de bola,5,"Fui com minha esposa e meu filho, jantamos duas vezes lá e adoramos. Tem um atendimento ótimo, o prato pra duas pessoas serve 4 brincando, muito saborosa e com um preço muito bom."
Espetáculo,5,"Melhor restaurante de Natal! Queria muito que tivesse um desses no Rio de Janeiro. O atendimento é excelente, os funcionários muito atenciosos, estão verdadeiramente preocupados com o cliente e sua satisfação tanto com o conforto quanto com a comida. Comida com um preço super justo e deliciosa, pratos bem servidos. Instalação linda e de muito bom gosto. Só de lembrar me dá vontade de ir novamente."
Muito boa culinária e atendimento diferenciado.,5,"Curiosamente, apesar de ser um outro grupo econômico, o cardápio é quase idêntico ao do Coco Bambu! Quem copiou quem, pouco importa, o fato é que o local é agradável, as comidas são boas e o atendimento profissional."
Jantar especial.,5,"Muito bom restaurante o melhor de Natal, solicitei um camarão do chef e um camarão ponta negra. Muito bem preparados um sabor inigualável. Fácil acesso, super recomendo."
Demais,5,"Sem dúvida o melhor atendimento na cidade de Natal. Comida deliciosa, entradas muito boas e preço justo. O único inconveniente é a espera as vezes é mais de uma hora."
MARAVILHOSO,5,"Cardápio variado, comida MARAVILHOSA, atendimento EXCELENTE! Comemos lá mais de uma vez! Ah! Sobremesas imperdíveis!"
Preço justo e Rango bom...,5,Fomos no Camarões localizado perto de ponta negra e no do shopping... ambos muitk bons e agradáveis... ambiente solista e garçons bem preparados e atenciosos... Ótima experiência... frutos do mar excelentes!!!!
Excelente Restaurante!,5,"Ótimo atendimento,  comida deliciosa; pratos fartos e preço justo para o proposto. Recomendo.  Ambiente bem aconchegante  e sofisticado."
Gastronomia excelente!,5,"Foi perfeita a experiência que tive no Camarões! O ambiente é lindo, confortável e aconchegante. Pedi camarão com creme de caranguejo, arroz com castanhas e macaxeira frita. Para beber, pedi Piña Colada e suco de abacaxi com hortelã. Tudo divino! E você nem se dá ao trabalho de se servir: os garçons servem você! Não deixe de ir ao Camarões, é uma experiência gastronômica maravilhosa!"
Gostoso,4,"Restaurante com um ambiente muito bom, comida boa, porém fria. Preço razoável. Custo benefício bom comparando com os outros restaurantes de natal."
Confraternização perfeita!,5,"Comida maravilhosa, funcionários atenciosos e educados, cardápio bem diversificado, preços razoáveis. Restaurante de referência na Cidade. Faz jus! Super indico!"
Vá com fome...,5,"Comida de primeira, os pratos servem 3 pessoas, qualquer um que escolher você não vai se arrepender."
EXCELENTE,5,"Alem do serviço maravilhoso a gastronomia é simplesmente espetacular. Comemos  À GREGA - À milanesa, servido sobre o arroz à grega e gratinado com molho de tomate e queijo mussarela e batata palha... #superindicoprato"
Comida excelente!!,5,"Os pratos são muito bem apresentáveis, os garços atenciosos, ambiente agradável e a  comida muito boa"
Ótimo restaurante,5,"Recomendo a todos quando visitar Natal, dar uma passada no restaurante. Existe pratos que atendem até 4 pessoas. Com preços excelentes."
Férias,3,"Esse restaurante é muito badalado em Natal. Seus preços são elevados. Boa arquitetura. Demora no atendimento e no pagamento. Os pratos são normais, sem nenhum destaque especial. É local para ver é ser visto. Para quem está passeando por Natal não vale a pena. Não recomendo."
Água na boca,5,"A comida é muito boa. O atendimento é rápido. O restaurante é bem luxuoso. Os pratos são bem servidos, podendo ser divido entre 3 ou até 4 pessoas. Até o banheiro é digno de fotos. Parabéns ao restaurante."
Maravilhoso!!!,5,Restaurante de parada obrigatória para quem visita Natal. A culinária desse é maravilhosa!!!!! Além da enorme variedade de pratos.
Melhor Restaurante de Frutos do Mar,5,"Local muito agradável, todos funcionários com bastante profissionalismo, os valores das refeições e bebidas são excelentes tendo em vista que servem até 03 pessoas."
Requintado com preço acessível,4,"O restaurante fica em Ponta Negra, os pratos servem pelo menos três pessoas, tem várias opções de crustáceos, principalmente camarões.  Achei apenas o garçom um pouco despreparado em relação a sugestões e carta de vinhos, nos indicou um errado inclusive, mas numa visão geral, ótimo restaurante"
Excelente,5,Sem dúvidas é um dos melhores restaurantes de Natal. Nada deixa a desejar. Garçons e educados e comida muito saborosa. Estão de parabéns.
MA-RA-VI-LHO-SO,5,"Esse restaurante é parada obrigatória para que visitar Natal. A culinária desse restaurante é maravilhosa, alem da enorme variedade de pratos a disposição para escolha."
Bom mas um pouco CARO!,4,"Comida boa mas pouca opção com 'polvo' EXEMPLO, NÃO TEM UM ""POLVO À PROVENÇAL"" prato obrigatório para quem trabalha com polvo."
Maravilhoso Não pode ir a Natal sem conhecer,5,"Ambiente agradável, bem familiar, ótimo atendimento, pratos deliciosos e refinados que servem de duas a quatro pessoas (depende do tipo de estômago das mesmas) muito bem servidas, com qualidade e preços justos. Se você come pouco como eu, precisa levar mais pessoas para dividir (poderia ter opção de ½ porção e metade do preço, seria mais justo). Precisa conhecer, vale a visita!"
Restaura excelente!,5,"O restaurante e especialista em frutos do mar. com ótimo custo benefício e localização. Sempre o frequento,"
Sofisticação,5,Muito Bom Ambiente Sofisticado e Familiar! Recomendo muito bom para quer algo tranquilo e sofisticado.
O melhor,5,"O melhor restaurante que já comi em toda a minha vida. Todo ano vou a Natal e toda vez, vou lá. Incrível!"
Maravilhoso,5,"Ambiente agradável, bem familiar, ótimo atendimento, pratos deliciosos que servem duas pessoas muito bem servidas e preços justos. Amei tanto que voltei mais duas vezes para jantar. Super indico!"
vale a pena conhecer,4,"culinária refinada para quem tem bom gosto, mas nada muito fora do normal, atendimento precisa melhorar mais um pouco"
Excelente,5,A melhor opção para quem busca um excelente restaurante em Natal. Preço justo e pratos deliciosos e bem servidos. O atendimento é primoroso. Parada obrigatória para quem aprecia boa comida e principalmente camarão.
"Ótimo,  saboroso e atendimento 10",5,"Super bem atendido, nos sentimos importante devido seu atendimento,  os pratos sem comentários,  comida muito deliciosa, sabor incomparável.  Quando voltar a Natal,  com certeza retornarei ao restaurante."
Variedade de pratos,4,Eu amo camarão e este restaurante atende as expectativas.  Não é barato  comparado a outros restaurantes da região mas sempre retorno.  Recomendo fazer reserva no caso de jantar
Delícia com custo-benefício,4,"Um clássico natalense, não erra nunca, pratos padrão, bem servidos, preço honesto, serviço muito bom, limpeza ótima, falta apenas melhorar logística (sempre lotado)"
Satisfação,5,"Excelente comida e ótimo atendimento. Grande variedade de frutos do mar, principalmente, a diversidade dos pratos de camarões."
Excelente comida,5,"Comida de otima qualidade e muito bem servida. Tem um preço justo. Oferece boa variedade de pratos , tem opções para quem não quer peixes ou frutos do mar. Vale a pena conhecer!"
Vale a pena conhecer,5,"O Camarões é um restaurante super aconchegante, um bom atendimento e principalmente uma comida excelente. Vale a pena conferir, o preço é justo e os pratos não demoram muito a serem servidos, pois o sistema do restaurante é muito rápido."
Almoço,5,Viagem para Natal tem que passar pelo restaurante camarões excelente atendimento e pratos muito bem servido estávamos em dois cassais e e mais duas crianças pedimos o prato camarão a ponta negra para os dois casais e as crianças ficamos muito satisfeito e é um prato muito bom com camarões recheados e batata ao creme de alho é arroz à grega muito bom
Lindo Restaurante,5,"Restaurante lindo, com muitas opções de pratos  e deliciosos! O prato é muito bem servido, atendimento de primeira e muito bem localizado...vale a pena."
Excelente,5,"Ambiente agradável e comida excelente, a um preço bom. Vale muito a pena! Prato bem servido e sobremesas ótimas."
excelente restaurante,5,"restaurante excelente, localização ótima, estrutura muito bom, ambiente excelente, ótimo atendimento. A comida é excelente, qualidade excelente, muito saborosa, possui muitos pratos e todos muito saborosos, vale a pena, recomendo"
Excelente comida e atendimento,5,"A comida é excelente! Pedimos um camarões Bonfim. Estávamos em duas pessoas, mas serve três pessoas tranquilamente. E de sobremesa pedimos um peti gateau de doce de leite. Perfeito! A sobremesa é individual, mas também é bem servida e dá para duas pessoas.  O atendimento é ótimo! Ótimo custo benefício. É um lugar que tem que ir em Natal.  (E o banheiro é lindo! Rss)"
Excelente,5,"Um dos melhores restaurantes que já  visitei. Maravilhoso,  pratos servem bem até  3 pessoas.  Comida regional (camarão) super apetitosa."
Imperdível,5,"Restaurante impecável, com pratos saborosos, bom serviço, ambiente agradável e bem localizado. Dependendo do horário, haverá fila de espera por mesas, mesmo fora da alta temporada  Preço razoável diante do que se oferece. Sobremesas maravilhosas Tb  Vale muito a pena conferir e Reconferir rsrs"
Excelente comida,5,"Ambiente moderno e amplo, comida de excelente qualidade e muito bem servida, bebidas geladas. Ótimo ambiente de espera com mimos para agradar quem espera."
Delicioso,5,"Comida farta, fresca e deliciosa. Não tem como ser melhor. Adorei o ambiente, muito bonito, o atendimento e a comida sensacional."
Ótima comida e atendimento,5,Estive no restaurante com a minha esposa para comemorar 1 ano de casamento. O atendimento foi perfeito e a comida sensacional. Se você estiver visitando Natal você precisa conhecer este restaurante.
Restaurante padrão!,4,"Tivemos a oportunidade de conhecer vários restaurantes em Natal! O Camarões é um dos melhores! A comida é saborosa e bem servida e o atendimento é bom! Os garçons sempre perguntam se a refeição está boa e se tudo está em conformidade!!  O preço é bem razoável, um prato para duas pessoas sai pelo preço médio de R$ 100,00. O mesmo preço de um prato servido em barzinho da praia! Assim, pela qualidade e conforto, vale muito a pena!!"
Excepcional restaurante,5,"Qualidade e atendimento impecável da recepção ao final do jantar. Ambiente muito bonito, comida espetacular e garçons muito educados e prestativos! Quando vier novamente a Natal, voltaria com certeza!"
Lugar maravilhoso,5,"Restaurante sensacional, preço justo e atendimento exemplar! Deveriam expandir para outros lugares do Brasil.  Recomendo de olhos fechados!"
Excelente,5,"Um restaurante maravilhoso. Pratos acessíveis e bem servidos. Super recomendo. Voltamos por 2 vezes. Não pode deixar de pedir o pastel de camarão de entrada, magnífico."
Ótimo Restaurante,5,Restaurante com ótima localização e um bom atendimento. Cardápio variado com ótimas opções de frutos do mar. Melhor camarão na moranga.
Frutos do mar,5,"Excelente opção em Natal de restaurante de frutos do mar. Pratos deliciosos, fartos e com preço bem razoável. atendimento impecável. Impossível sair insatisfeito."
Confirmou a fama,5,"Realmente deve ser o melhor da cidade, restaurante de alto nível, atendimento nota 10 desde o segurança do estacionamento. E o mais interessante, não é caro! Pratos variam de 104 a 130, e vem muita comida, 2 comem muuuito, 3 comem bem e até 4 comem suficiente. Sobremesas top também, 20 pila."
muito bom,4,"restaurante muito bonito, comidas muito gostosas. O preço é um pouco caro, fiquei sabendo que antigamente buscavam turistas em hotéis, mas atualmente éuma pena que não busca mais."
Atendimento.,5,"Atendimento mais que perfeito, e com excelente cardápio e variedades muito bem servido, aconchegante perfeito para casal ou com amigos, preço muito justo vale a pena visitar esse local, não percam essa oportunidade."
Atendimento impecável,5,"Atendimento impecável, pratos elaborados é muito bem servidos por preço honesto. Decoração de muito bom gosto, vá ao banheiro feminino e veja que charme."
Qualidade,5,"Comida de boa qualidade, atendimento eficiente, lugar aconchegante, ótimo para jantar a dois ou mais pessoas."
O melhor camarão que ja comi,5,O local é excelente. Atendimento rápido e eficiente. Comida de primeira qualidade. Preço justo. O prato é bem servido. Nada a reclamar.
Melhor De Natal,5,"Para quem gosta de camarão este é sem duvida o melhor restaurante de Natal, ambiente bonito e aconchegante, boa carta de vinhos e variados pratos a la carte de camarão sem igual e muito bem servido com preço ótimo pela qualidade!"
Fui no camarões errado,3,Eu estive em natal em 2016 com meu marido e em 2017 fui em natal com a minha mãe e levei ela para conhecer . Achei a comida bem fraco é diferente do outro camarões. Atendimento muito bom ... mas a comida não posso dizer que é ruim .  Mas é bem fraca ! O outro eu sai de lá maravilhada .
Impecável,5,"Ambiente agradável. Ótimo atendimento: recepção, garçons, todos muito prestativos e solicitos. O camarão internacional é o carro chefe, muito saboroso e bem servido. Recomendo!"
Muito bom!,4,"Atendimento rápido, pratos bem servidos e vinhos excelentes! Parabéns pela equipe. Recomendo a todos."
Restaurante maravilhoso!!!,5,"Comida excelente, ótimo atendimento, restaurante super aconchegante. O camarão internacional é perfeito!"
Um dos melhores restaurantes que já fui!,5,"Tudo perfeito! O ambiente, o atendimento e a comida! Foi muito difícil escolher um prato! Todos eram atraentes. Lamentei que não havia opção de prato individual. Dizem que vc pode escolher uma porção menor de qualquer prato, mas pagar 70% de seu valor, o que não vale a pena. Eu e meu marido queríamos pedir 2 pratos diferentes para provar mais de um, mas não foi possível. Essa é a minha única crítica."
Maravilhoso!!!!,5,"Com certeza um dos melhores restaurantes que já estivemos, ambiente agradável,  recepção e  atendimento são excelentes, muito atenciosos e simpáticos.  A comida? muitoooo saborosa mesmo, não resistimos e voltamos outra vez, os pratos são para mais de duas pessoas tranquilamente, quanto ao preço gira em torno de $ 104 a $ 200."
Perfeito!,5,"Jantamos lá duas noites, o restaurante é excelente! Os garçons são super atenciosos. O valor é um pouco alto, mas vale a pena. Eu recomendo."
Preço excelente,5,"Ambiente excelente, quantidade do prato deu para 4 pessoas com um preço excelente. Estacionamento grátis, boa localização perto da praia e do shopping."
COMIDA DELICIOSA EM AMBIENTE SOFISTICADO EM TODAS AS UNIDADES,5,"Apesar de sua especialidade ser pratos à base de camarão, se você pedir peixes ou alguma carne também vai achar fantástico.  Já fui há muitos restaurantes em lugares diferentes e pouquíssimos vendem esse padrão de qualidade pelo preço ofertado pelo camarões.  Case de sucesso em Natal já com quatro unidades.  Se estiver lotado, tenha paciência, vale a pena esperar.  Jantar para dois sem vinho, paga-se uns R$ 130,00.  Não tem como dar dicas de pratos, todos são muito bons, lembrando que cada um dos restaurantes possui cardápio diferente. Para entrada não deixe de pedir o caprese de camarão ou o pastel de camarão."
Almoço de domingo após a Praia!,5,"Em Ponta Negra, atravesse a Avenida e tenha uma grande experiência gastronômica! O melhor camarao que vc já comeu! E na saída tem uma cachaça maravilhosa (era Samanaú da última vez que fui)!"
o melhor restaurante,5,"o meu restaurante preferido em qualquer lugar que esteja para escolha de uma experiencia gastronomica,seja em paris,madrid ou qualquer outro lugar,sentamos para comer e pensamos eu e minha família,ah como podia ter um Camarões aqui! lugar unico,comida unica,frequentamos há muitos anos desde a inauguração,ainda numa pequena casa,mas no mesmo endereço e o sabor é sempre igual,o chefe parece que nunca tira férias.Atendimento impecável do nosso garçon Luiz Antonio,da próxima  ida pede para conhece-lo,aliás temos sempre a sensação de que todos que trabalham lá amam o que fazem e conhecem profundamente o que estão servindo,parece que as papilas gustativas estão também no coração,pois sentimos amor!Na próxima visita experimente o camarão do chefe,um aroma unico de manjericão com molho vermelho ,enormes camarões e azeitonas pretas.Vale a pena conferir!"
Ótimo e Rápido Atendimento,5,"Lugar bem ambientado, com excelente estacionamento, e rápido no atendimento e com grande qualidade nas refeições."
O melhor de Natal,5,"Parada indispensável para quem visita Natal! Comida excelente, a melhor! Atendimento sem igual! Preço justo. Ambiente agradabilíssimo. Ótima localização, no bairro badalado de Ponta Negra."
Visita passeio,5,"Muito bom.. pedimos 2 pratos com medo que faltasse em 5 acabou sobrando, prato serve 2 pessoas tranquilamente, atendimento espetacular.. estao de parabéns"
Maravilhoso,5,"A comida serve muito bem e estava uma delícia. Sem falar no atendimento espetacular dos garçons, super educados! Vale muito a pena conhecer"
Ferias,5,"Atendimento nota 10 , refeiçao nota 10!! Se voce gosta de camarao pode ir que nao vai se arrepender!! Tem opiçoes de carne vermelha tambem.pratos em media de 120 reais!!serve 2 pessoas!!"
Sensacional!,5,"O Camarões é um restaurante bastante tradicional de Natal. Conhecemos as duas principais unidades: Camarões Potiguar, com seu ambiente bem maior e mais requintado, e, claro, o tradicional Camarões Restaurante, o primeiro da rede. Ambos localizados no bairro de Ponta Negra. O cardápio é muito variado e conta não só com camarões, mas também peixes e outros frutos do mar, carne bovina, frango, etc. Os pratos são fartos, podendo servir bem até três pessoas na minha opinião. Na unidade Camarões Restaurante, pedimos ""Camarões ao Pesto"", onde os camarões vêm salteados com azeite, vinho branco, tomate seco e azeitona preta, servidos com macarrão fettuccine ao molho pesto de manjericão. Este prato custou R$ 106,00. Os pratos chegaram bem rápido e só posso dizer que são sensacionais! Camarões e combinações deliciosas. Sem contar no atendimento sempre muito simpático e atencioso. Recomendo muito a experiência!"
Espetacular,5,"Sem dúvidas o melhor de Natal, os pratos são muito bem servidos, a saber: Grelhado das Dunas (3 pessoas) com lagosta, ..., Camarão Dijon (4 pessoas) e para sobremesa não deixe de experimentar o Brownie de sorvete com avelã e a Cocada Maria Bonita, que são espetaculares, além do atendimento exemplar. Sempre que for a Natal, quero passar por lá, Perfeito!!!"
10,5,Maravilhoso comida excelente atendimento 10 instalações agradáveis preço justo recomendo não deixem de conhecer vale a pena
Restaurante,5,"Maravilha! Camarão na moranga delicioso. Serve 4 pessoas tranquilo. E o sabor? Já conhecia o de Recife, mas como adoro camarão, não poderia deixar de visitar."
Excelente!,5,"Me senti muito bem, a comida estava deliciosa e até houve uma troca do prato pedido inicialmente. Minha esposa não pode comer comida mais carregada no sal e o prato foi substituído sem problemas. Mesmo assim, estava muito bom, o ambiente é muito acolhedor, e a diversidade de pratos me agradou muito. Todos os pratos sendo de frutos do mar, ou de carne de sol, são muito bons. As toilletes são uma atração à parte, muito boas, limpas."
"como o nome diz, serve pratos com camarões",5,restaurante de nível com culinária voltada principalmente para receitas com camarões. Também tem menu com peixes. Bem servido e com bom atendimento. A sobremesa é boa e vale a pena pedir o cardápio. É muito movimentado no horário de pico.
Sobremesa deliciosa e original,5,"Lugar agradável, provei o pastel de camarão, bem gostoso. Mas a cocada com sorvete de tapioca SURPREENDEU meu paladar. Combinação perfeita! Amei, muito bom."
Uma grande experiência gastronômica,5,"Ambiente super agradável, atendimento excelente e o principal: comida de qualidade. Lá é lugar pra se comer camarão."
Restaurante,5,"Os dois restaurantes Camarões são esplendidos, sem defeito, especialidade de frutos do mar e peixes, as porções são muito bem servidas dando para 3 pessoas o prato, provamos de tudo um pouco e fui neles mais de uma vez"
Indescritível,5,"O restaurante realmente nos surpreendeu! Pratos relativamente baratos com porções pra lá de generosas, e o que é melhor, comida saborosa e bem elaborada. Recomendo o Camarão Internacional"
O melhor,5,Com certeza indico de olho fechado. Excelente qualidade. Vou sempre. Pode pedir qualquer prato que não tem erro. Preço muito justo. Atendimento ótimo e muito ágil.
Delicia,5,"Lindo restaurante, comida muito saborosa, atendimento muito bom também, um dos melhores restaurantes de Natal! Muito bom mesmo."
Muito bom,5,"Restaurante maravilhoso! Ambiente amplo muito bonito  A comida maravilhosa, você sai com o sabor da comida no seu paladar Localização muito boa Atendimento excelente"
Comida maravilhosa,5,"Comi camarão 4 queijos. O melhor camarão que já comi até hoje, prato serve 2 pessoas. Vale a pena conferir.."
Maravilhoso,5,"Excelente atendimento, local agradável e pratos maravilhosos. Preços acessíveis pelo nível do restaurante. Imperdível!!!"
Imperdível,5,"Todos os anos no mês de agosto vou a Natal e não deixo de passa no Camarões. Preço excelente e comida farta. Um dos melhores restaurantes de frutos do mar que já fui (se não for o melhor). Ambiente agradável, familiar, sofisticado, com funcionários educados, bem localizado e cerca de 30% mais barato que outros do seu porte comparando com São Paulo"
Almoço em familia.,5,"Excelente, saboroso e um atendimento nota 1.000. Pedimos um salmão com crosta de gergelim, molho de manga.  Uma sobremesa deliciosa, tudo muito bom... Preço justo."
Bacana,5,"Melhor  lugar de Natal,  O restaurantes  É muito aconchegante, sem falar das comidas, excelente lugar. ."
Excelente,5,"Ótimo restaurante  É incrível a agilidade no preparo. A comida é excelente e muito farta. Um prato da casa é para 2 pessoas porém serve tranquilamente 3 ou 4 pessoas. O tratamento é ímpar,  funcionários educafos e preocupados com nosso bem estar. Não querem empurrar pratos, ao contrário, querem servir apenas o que nos agrada Pedimos como sobremesa a cocada de forno com sorvete de tapioca. Experimentem é mto bom Pela qualidade quantidade de comida servida considero o preço mto bom."
Camarões shopping Midway,5,Restaurante moderno.bonito.chik.atendimento perfeito...muitos funcionários pelo salão.excelente cortesia.atencao.educacao.rapisez no atendimento.  Como lanchinho ....os pastéis de camarão são perfeitos. A entrada do jantar ou almoço da vontade de ficar por ali mesmo de tão gostoso e bom gosto.  A sugestão é co.qulquer prato com xaamarao não terá erro.  Para peix3s...peixe a bele.maniere.
Restaurante espetacular!,5,"Atendimento nota 10, bebidas e drinks excelentes, ambiente climatizado, bem decorado e espaçoso. A velocidade que os pratos são servidos é impressionante. Com certeza, ir em Natal e não visitar o restaurante Camarões é um desperdício."
Imperdível,5,"Se está procurando frutos do mar de primeira qualidade, não pode deixar de ir no Camarões. Cardápio variado e sempre renovado."
Excelente,5,"Camarão de ótima qualidade, vale cada centavo! Ótimo atendimento e culinária! Vale muito a pena, imperdivel"
Melhor restaurante de Natal!,5,"Atendimento perfeito, lugar super bonito! A comida é maravilhosa prato muito bem servido. Vale o investimento."
Execelente atendimento,5,"-Visitamos a unidade mais antiga, o lugar é mto bonito. -O atendimento ótimo -o prato que pedimos veio mto bem servido e mto gostoso  Pedimos um ceviche de camarão com peixe cmo entrada e foi um dos melhores q comi  O prato principal veio super rapido.  Recomendo"
SURREAL,5,"Que pratos maravilhosos! São pratos bem servidos! Não conseguimos deixar de ir mais de uma vez neste maravilhoso restaurante! Se for a Natal, inclua este restaurante em seu trajeto!"
Comer e rezar,5,"Comida excelente, ambiente agradável e funcionários atenciosos. Aceitamos a sugestão do chefe e foi muito bom."
Ótimo custo benefício!,4,Restaurante mais conhecido de Natal! Tem pratos ótimos e enormes! Ótimo custo benefício. Adequado para grupos grande e famílias.
Turístico mas bom,4,"Serviço bom, ambiente bem frequentado, boa decoração. O prato principal (frutos do mar na chapa) não estava tão bom, os frutos do mar estavam ressecados, mas o pastel de camarão de entrada é inesquecível! Nunca comi nada igual!  Voltaria e indico só pelo pastel! Maravilhoso!"
Perfeito,5,Comida maravilhosa os garçons educados e o estabelecimento fica aberto até mais tarde. Comemos de entrada casquinha de caranguejo e o pastel de camarão seus pratos são maravilhosos .
Comida divina,4,"Comida saborosa, preço alto, atendimento perfeito, espaço kids, possii wi fi, funcionarios solicitos"
Camarão com molho de caranguejo,5,"Lindo ambiente, serviço impecável, muito atenciosos com todos os clientes. Camarão com molho de caranguejo muito saboroso e sobremesas deliciosas. Vale o preço alto. Detalhe para o atendimento cuidadoso da recepção."
Excelente culinária e atendimento,5,"Com o seu padrão Camarões não deixa a desejar em atendimento e pratos muito bem elaborados, principalmente os que levam camarão."
Perfeito,5,"Realmente um restaurante perfeito, pois os pratos são deliciosos e diferenciados, bem servidos e com preço justo!  Tenho vontade de voltar à Natal somente para retornar a este restaurante.  Não deixem de experimentar as sobremesas que também são maravilhosas.  Enfim, um perfeito restaurante!!"
CAMARÃO E COM CAMARÕES -  EXCELENTE,5,"Ótima localização, atendimento excelente, ambiente aconchegante, os pratos servidos para  2 pessoas servem bem 3 pessoas. Quem não gosta de fila deve chegar mais cedo, porque apesar do grande espaço esta sempre lotado."
Almoço no Camarões,5,"Pratos deliciosos e atendimento muito bom! Restaurante bem localizado, na praia de Ponta Negra e com amplo estacionamento.  Pedimos um Camarão na Moranga que estava divino."
O melhor camarão!,5,"Vir a Natal e não passar no restaurante Camarões é um pecado! Um prato de Camarão internacional média de preço: (R$ 86,00 a R$ 96,00) serve até três pessoas. O atendimento é ótimo! Exceção, devido ser um dos melhores em Natal está sempre lotado, o ideal é chegar cedo, mas vale a pena a espera. Obs. O restaurante serve outros pratos com peixes e carnes."
Super recomendo,4,"Restaurante bem Localizado, com atendimento muito bom, paste de camarão indispensável e os pratos bem servidos para 2 pessoas! Carta de vinhos que atende a todos os gostos! Vale o jantar!"
O melhor restaurante que eu fui!,5,"Fomos na ultima noite que estávamos em natal(infelizmente). Restaurante muito bonito e aconchegante, estava lotado mas não ficamos muito tempo esperando, ao nós sentarmos o garçom se identificou e nos atendeu super bem, pegamos um mignon a parmegiana e foi o melhor que eu já comi na minha vida! Foi uma experiência sensacional! Super recomendo!"
IMPERDÍVEL,5,"Preço honesto.. prato serve bem três pessoas...sugiro chegar com alguma antecedência, pois há fila de espera... vale experimentar o risoto de vatapá.."
Sensacional,5,"Super recomendo, comida maravilhosa, atendimento excelente, estacionamento, custo beneficio ótimo tendo em vista o tamanho dos pratos que servem de 3 a 4 pessoas dependendo da fome. Fui 2 vezes. Voltarei com certeza."
Maravilhoso,5,"Comida e atendimento perfeito, Índico pois o preço é ótimo e o ambiente maravilhoso. Como tem vários eu tive o prazer de ficar a 2 quadras . Muito bom"
Delicia,5,"Pedimos um camarão a Bonfim, feito com iguarias da região nordeste: manteiga, castanha  de caju, Pimenta, óleo de dendê... O prato é delicioso, serve tranquilamente duas pessoas.  As sobremesas também são deliciosas."
Férias,5,"Restaurante lindíssimo, atendimento excelente e comida maravilhosa, adoramos 👏. O restaurante fica situado em Ponta Negra  Natal RN."
Sou fã desse lugar,5,"Pense numa comida boa com preço justo. Sou fã de carteirinha, sempre que estou em natal vou lá. Pratos servem de 3 a 4 pessoas com o preço em média de 100 reais."
Muito bom,4,"Super recomendo, só tenham o cuidado de chegar mais cedo pra não ficarem na fila de espera , que é enorme. Também, com a comida , atendimento e sobremesas maravilhosos não poderia ser diferente."
Um dos melhores da Cidade,5,"Excelente ambiente, culinária com toque regional e opções internacionais, tudo com alto padrão de qualidade. Atendimento de altíssimo nível e localização de muito fácil acesso."
Muito bom,5,"Restaurante muito bom ,ambiente  familiar,o melhor camarão que comi na minha vida. Atendimento dos garçons rápido e eficaz."
"Comida Saborosa, Bom atendimento",5,"Restaurante nos mesmos moldes do NAU(Joao Pessoa) e CocoBambu(Fortaleza). Ate o cardápio semelhante, pratos, decoração, etc...Todos os citados são muito bons, porem acho o Camarões o melhor dentre os citados, devido a melhor combinação dos ingredientes. Foi o pioneiro inclusive."
Todo la é  bom,5,"Cada prato uma experiência única,  e a cada visita os votos se renovam, preços são medios mas custo benefício considerando o tamanho dos pratos é ótimo."
Bom restaurante,4,"Ambiente bom, bastante espaçoso. Bons pratos e carta de vinhos acessível. A sobremesa (brownie) deixou a desejar."
Excelente comida e atendimento,5,"Parada obrigatória para quem visita Natal! Desde a recepção até a saída, a equipe cuida super bem dos clientes. A decoração do local é de super bom gosto também. Vale cada R$ gasto! :-)"
O melhor restaurante de Natal!!!,5,"Sem dúvidas o melhor restaurante de Natal e um dos melhores do Nordeste! Os pratos são maravilhosos! Destaque para o camarão ao molho branco no pão italiano, acompanhado de purê de macaxeira com queijo coalho! Isso sem contar as sobremesas... uma melhor que a outra!Uma verdadeira experiência gastronômica! O atendimento é ótimo e a refeição não demora!! O preço é excelente perto do que oferece! Muita qualidade e sabor! Recomendo muito!!!"
