Coments_norm,Polaridade,Estrelas,Classificacao_estrelas
best restaurant northeastern food best northeastern restaurant welltrained staff service makes anyone feel like king,positivo,5,positivo
impeccable restaurant food service makes life better employees kind polite flavor food dessert super recommended,positivo,5,positivo
go christmas visit camaroes two units two units close together modern decor fast efficient service let go point interest quality quantity dishes excellent plentiful cost x benefit final bill worth hesitate order dessert lots qualified options,positivo,5,positivo
7 years ago christmas loved restaurant back despite pandemic quality facilities food service still impeccable wonderful congratulations team,positivo,5,positivo
excellent food tasty quality waiters serve well friendly suggest arriving early place fills quickly,positivo,5,positivo
nice atmosphere great service helpful staff food simply exceptional good loved,positivo,5,positivo
recently branch arrived 723 pm lot demand able enter 845 pm saw empty tables justify discomfort waiting ordered moqueca fish shrimp fish lacked seasoning shrimp complement clashing proposal house strong point internal service waiters polite helpful,negativo,2,negativo
thought great restaurant saturday spent less 130 people waiting line willing wait still lot people wonderful restaurant really worth wait fast food tasty efficient service,positivo,5,positivo
best place could choose celebrate birthday looking good wine good food found addition good food indisputable found professionals extremely prepared intention provide better experience gave best recommendation wines super patient criteria adapted dishes suit palate doubt excellent service,positivo,5,positivo
ordered delicious shrimp two adults leftover meal recommend,positivo,5,positivo
dishes well prepared certainly match expectations created quantity shrimp size quite restricted dishes seem come stuffed ingredients rice cream milk disguise quantity shrimp served considering christmas expected much better experiences cities sp,negativo,3,neutro
best shrimp moqueca ever super fair price doubts worth 5 stars good service super helpful staff,positivo,5,positivo
perfect restaurant aspects pleasant atmosphere wonderful food ate shrimp well served fair price would like congratulate employee fabio attentive cheerful pleasant congratulations,positivo,5,positivo
fast service staff attentive waiters tasty food values consistent quality place transforms restaurant best value money category,positivo,5,positivo
great service cozy atmosphere wonderful food super friendly waiter would always come back shame live christmas,negativo,5,positivo
excellent food plentiful fair price well located ponta negra beach recommend,positivo,5,positivo
great restaurants excellent pockets friendly personalized service throughout city,positivo,5,positivo
chain restaurant tourist spot really everything good decoration price delicious food plentiful get early always crowded super recommend wine house portuguese excellence,positivo,5,positivo
beautiful restaurant airconditioned impeccable bathroom polite helpful staff ordered incredible international dish,positivo,5,positivo
delicious food beautiful restaurantincredible dessert attentive waiters felt safe social distancing,positivo,5,positivo
beautiful restaurant great service menu diverse options night usually queue entering quick service dish also arrives quickly ordered pastel shrimp appetizer read instructions thought sensational tasty ordered imperial dish creamy rice shrimps catupiri milanesa delicious shrimps dish could contained rice think creamy tasted anyway think great option fair price offers super well located,positivo,5,positivo
great restaurant great food well served suggestion shrimp exceptional chef,positivo,5,positivo
everything incredible service tasty dishes worth fair prices good arrive early busy need waiting list,positivo,5,positivo
wonderful restaurant worth visiting delicious food best restaurants christmas,positivo,5,positivo
possible restaurant put better christmas basic even accept reservations dinner pandemic respond third world bar accept reservations first come first serve depressing teach people responsibility restaurant tripadvisor reference even waste time go place like,negativo,3,neutro
hard choose one thing say liked atmosphere beautiful pleasant excellent service quick prepared dishes besides tasty tried shrimp chef loved well served desserts excellent also arrive early want avoid waiting 7pm people start form queue,positivo,5,positivo
delicious food ate shrimp pastry really liked wanted go days ate international shrimp dish great,positivo,5,positivo
loved going cameroon besides beautiful exemplary service thank much cleber attentive waiter,positivo,5,positivo
refined atmosphere extreme good taste well prepared dishes presented excellent value money,positivo,5,positivo
excellent food affordable prices welcoming waiters beach ponta negra easy location,positivo,5,positivo
wonderful restaurant delicious food plenty staff extremely helpful polite air conditioning cracking arrived feeling cold asked turned right promptly attended incredible night coming yet renovation beautiful,positivo,5,positivo
everything excellent restaurant ate fish delicious shrimp sauce drank good wine spacious house well sanitized served kleber gentleman highly recommend,positivo,5,positivo
visited place twice wonderful holiday trip several units city chose unit number 1 queue directed place could order drinks waited great dishes friendly service waiters,positivo,5,positivo
restaurant simply wonderful service excellent time preparing dishes quickly quality speak toa considered best restaurant,positivo,5,positivo
loved restaurant nice atmosphere beautiful staff super attentive excellent service tasty food quick varied menu fair price highly recommend,positivo,5,positivo
beautiful restaurant wonderful food best life return christmas definitely back,positivo,5,positivo
excellent mandatory stop come christmas loves seafood ordered parisian shrimp dish loved choice paid r8990 dish served 2 people left restaurant strictly following standards covid prevention recommend booking appointment avoid queues expect arrive early highly recommend definitely back,positivo,5,positivo
wonderful atmosphere service 10 amazing food came quickly varied menu lots options,positivo,5,positivo
good restaurant food excellent service ditto see queue side like wait hours better skip smoothie think reasonable wait line 1h30 great meal,positivo,4,positivo
christmas tour ask directions local accommodation recommend cameroon go,positivo,5,positivo
delicious food ambiance fantastic service dishes well served fair price attended waiter fabio excellent figure professional cream 10 miss trying sensational imperial shrimp,positivo,5,positivo
november 25 2020 cameroon restaurant,neutro,5,positivo
best culinary experiences already spectacular service following safety protocols come christmas eat less,positivo,5,positivo
dish choose delicious meat fish shrimp good tried romeo juliet cup time also delicious,positivo,5,positivo
super prepared welcome pandemic local super pleasant fair price impossible want return highlight service first dinner lunch recommend greek shrimp fantastic,positivo,5,positivo
doubt best restaurant local cuisine christmas ordered starter main course dessert great value money,negativo,5,positivo
rating 10000 good restaurant fantastic service recommend trying typical foods,positivo,5,positivo
well organized place great taste care due pandemic amazing food dessert,positivo,5,positivo
best christmas restaurant exceptional service order comes quickly wonderful food fair price fully delivers promises,positivo,5,positivo
excellent service excellent food well served pleasant place well sophisticated despite luxury restaurant prices well worth every time visit christmas go cameroon like different experience never falls standard rating 10,positivo,5,positivo
despite full full pandemic restaurant prepared meet conditions excellent service delicious food,positivo,5,positivo
excellent service cozy atmosphere light food delicate flavor quality ordered dish flower salt shrimp grilled sauteed olive oil herbs mozzarella buffalo flower salt accompanies rice almonds mix roasted potato formagio accompanied good wine dessert ordered verrine hazelnut ganache truffled chocolate cubes brownie mousse hazelnut crunchy chestnut syrup syrup cocoa simply divine,neutro,5,positivo
love food price fair quality quantity atmosphere pleasant staff attentive wednesday restaurant queue small room waiting tables,positivo,5,positivo
alone wanted buy pastry take restaurant sent someone else said delivery,negativo,2,negativo
nice restaurant decorated excellent servicefood qualitywell served twice found wonderful dishessacho doubts best specialty shrimp,positivo,5,positivo
excellent service attentive waiters wine acceptable value dishes two people serve three ate wonderful vatapa risotto highly recommend,positivo,5,positivo
international shrimp best pastel incredible everything fabulous chic ordered delivery,positivo,5,positivo
good price good service top wonderful dishes cold beer drink top offer transfers restaurants,positivo,5,positivo
best seafood dishes best service education service quality impeccable food,positivo,5,positivo
restaurant simply wonderful organization cleanliness impeccable take 10 minutes dish get ready christmas miss shrimps,positivo,5,positivo
cameroon october 2020 restaurant pleasant atmosphere fast service addition delicious dessert dishes,positivo,5,positivo
chose cameroon restaurant celebrate birthday loved care minimize contagion covid 19 entrance well received flavor food great toast got delicious mini tart recommend,positivo,5,positivo
specialist seafood restaurant arrives rio grande norte thank make meal shrimp impeccable service food delicious drinks traditional establishment maintains quality many years congratulations,positivo,5,positivo
everything good recommend everything price compatible quality beautiful place starter excellent dessert,positivo,5,positivo
starter pastel shrimp catupiry incredible twice restaurant twice surprised food arrives super fast well made clean shrimp caipirinha rapadura lemon sensational great desserts unique restaurant full 1930 arrive early wait long line wait prices worth delivery food miss,positivo,5,positivo
wonderful restaurant reception service spectacular food divine wine unique atmosphere,positivo,5,positivo
great place wife attended fabio super attentive suggestions shrimp chef recommend,positivo,5,positivo
november 2020 holiday trip several colleagues already recommended restaurant ate delicious prawns excellent service excellent waiters super polite attentive time great price,positivo,5,positivo
differentiated efficient efficient competent protocols followed coronavirus prevention well served dishes tasty food fair price cold beer worth visit,positivo,5,positivo
best christmas restaurant impeccable items fair price quality food excellent service,positivo,5,positivo
wonderful menu incredible fair prices offers super careful attentive covid measuring temperature already entry disposable menu security measures hidden away wonderful shrimp fast service efficient service good waiters good atmosphere good coconut tapioca ice cream miss love place,positivo,5,positivo
excellent service wellserved portions fair prices shrimp pastry expensive worth every penny almost meal,positivo,5,positivo
best restaurants christmas mandatory stop tourist super pleasant atmosphere wonderful food highly recommend,positivo,5,positivo
pleasant experience excellent service wonderful food highlight naked nest perfect dessert,positivo,5,positivo
high expectations restaurant influenced many others poor service option individual dishes delivery thought would order delivery deliver table dish ok drinks although took also ok find extraordinary shrimps honestly want go back,neutro,3,neutro
everything wonderful fair price great service ate flower salt shrimp rice almonds slices vegetables,positivo,5,positivo
restaurant excellent variety food seafood dishes two three people average value r 9000 shrimp dish two people good service spectacular food,positivo,5,positivo
wonderful food dinner 2 times period 7 days service cleanliness bathrooms everything impeccable congratulations,positivo,5,positivo
heard good quality restaurant personally able prove really makes stand wait option due demand expectation experience perfect service dishes came quickly incredible quality worth,neutro,5,positivo
going rain wet sensational unmissable near mangai restaurants mandatory city draft beer city places offer,neutro,5,positivo
good fun place beautiful view beach front great service great place,positivo,5,positivo
spectacular food rating 10 super fair price went back restaurant 3 times 15 days dish two people eat 4 take home dinner next day also try shrimp pastry fantastic,positivo,5,positivo
ema worth visiting restaurant enjoy addition fresh shrimp dishes also tasty,positivo,5,positivo
best christmas restaurant tasty food pleasant atmosphere everything organized spectacular,positivo,5,positivo
perfect restaurant beautiful tidy staff give tips dishes worth asking expensive wonderful food,positivo,5,positivo
large chain afraid commit excess exquisite service drinks harmonize dishes well pleasant atmosphere extensive menu difficult choose chose two starters ceviche fish shrimp delicious octopus sertao little greasy main course chose good shrimp accompanied delicious risotto vatapa restaurant serves well serves well cozy deserves remain first place,positivo,5,positivo
beautiful place pleasant staff kind attentive delicious food varied menu fair price good location recommend,positivo,5,positivo
excellent service exceptional cuisine well served dishes fair prices highly recommend,positivo,5,positivo
great imperial shrimp fast service attentive staff well served ideal portion dish,positivo,4,positivo
disappointing food imperial shrimp super rubbery hot microwave service waiter flavio super rude wanted us leave soon terrible set worth threw money,negativo,1,negativo
excellent food quick service preparation 10 minutes food table comes christmas must go try food,positivo,5,positivo
second time going time ordered lobster dish 3 people thought quantity satisfactory good taste,positivo,4,positivo
evaluating restaurant received much rudeness uniformed police officer gave,negativo,1,negativo
co shrimp october horrible experience food arrived cold appearance ready hours incredible seafood dish arrived quickly ordered lobster dish shrimp octopus expensive sign came 3 tiny pieces octopus rubbery squid thing saved ceviche exactly tell terrible service inattentive waiter called waiters deaf anyway sad go back christmas sure spend money locally,negativo,2,negativo
excellent service good food reasonable prices served attention waiters full house recommend,positivo,5,positivo
wonderful food service rating 10 worth knowing file parmigiana best tried,positivo,5,positivo
impeccable service dishes arrived table quickly extremely tasty highly recommend,positivo,5,positivo
restaurant excellent food great service perfect taking precautions regarding food,positivo,5,positivo
great restaurant excellent service delicious food meets requirements covid 19 containment,positivo,5,positivo
got engaged waiting tables house full respecting new format social distancing attended waiter anderson jose attentive suggestions helpful friendly relationship doubts menu also lively house evening beginning entrance ordered traditional mojito different caipirinha shrimps well famous pastry wellstuffed shrimp everything incredible worth highlighting caipirinha delicious pastel dinner accepted suggestion anderson ordered shrimp chef showed great option try local seasoning touch house waiter jonatas also helping showing attention smallest details incredible night tasty food fair price wellprepared portions options two people serve 3 calmly careful careful addition everything dishes cutlery napkins arrive sanitized table worth experience back,positivo,5,positivo
starter main course seemed salty excellent service still prefer coconut bamboo suggest looking local restaurants try shrimp dishes christmas certainly find better flavor,positivo,4,positivo
visit adequate service well served tasty dishes worth value money,positivo,5,positivo
think wonderful restaurant delicious food impeccable service structure rating 10fantastic desserts,positivo,5,positivo
excellent restaurant good atmosphere options dishes fair price considering quality meal good service,positivo,5,positivo
discover restaurant recommendation motherinlaw loved understand incredible cozy atmosphere perfect service perfect moment food simply perfect ate tilapia risotto drizzled almond butter perfect,positivo,5,positivo
waiting line already expected many references good quality restaurant loved service staff flavor dishes values restaurant beautiful would definitely come back,positivo,5,positivo
already several times cameroon reopening pandemic returned family able confirm still wonderful always delicious food great service always come back,positivo,5,positivo
visiting famous restaurant causes positive reviews worth excellent service beautiful atmosphere pleasant surprising menu values course expensive dishes good options expensive ordered piamontese prawns two r89 ate well delicious values two starting one going taste recommend streets find many places charge smallest portion shrimp worth,positivo,5,positivo
chic restaurant affordable price top notch food excellent service light seasoning,positivo,5,positivo
beautiful restaurant excellent service reasonable price observation would need vegan options flagship restaurant seafood considering better intention christmas needs able serve people better dietary restrictions,positivo,4,positivo
good experience start end recommend ordering dish two people dishes really well served try prawn bonfim dish different mix seasonings,positivo,5,positivo
stayed 6 days christmas cameroon loved deciding go famous restaurants delicious r 2250 price oct2020 offer internet menu worth visiting place great service always full suggest arriving early 7pm late 1030pm wait little 30min 40min service paulo excellent professional polite attentive sao paulo existed,positivo,5,positivo
best restaurant ever excellent service special mariano served delicious food spectacular dessert price agreement quality delivery,positivo,5,positivo
never disappoints enchanted quality restaurant super helpful staff polite highlight waiters served excellence joao victor santiagorestaurant remains careful due pandemic love camaroes,positivo,5,positivo
cameroon restaurant amazing food service good expensive,positivo,5,positivo
shrimp left amazed really tasty food super prepared pandemic give bag store mascara alcohol gel every table service impeccable waiters polite super fast queue waits less 30 minutes noticed passing tables available order drinks snacks really food good liked everything snacks main course dessert addition structure environment also impeccable maximum rating deserved,positivo,5,positivo
unmissable restaurant christmas know restaurant reviews guarantee surprises super well served fabio starter casquinha crab ordered shrimp dish perfect crab rice back,positivo,5,positivo
service great atmosphere food best ceviche ever main dish well served lots shrimp excellent dessert also think good value money,positivo,5,positivo
best dessert ever fantastic service impeccable cleanliness fair price pleasant atmosphere,positivo,5,positivo
dinner restaurant last night christmas regret going every night service staff adriano excellent order served ate breaded shrimp quinoa risotto pumpkin well served would easy two people,neutro,5,positivo
excellence entrance attentive staff efficient polite competent waiters pleasant place impeccable decoration spectacular food,positivo,5,positivo
dish ordered 3 people besides gods flavor serves 4 5 people prawns risotto lemon huge prawns juicy risotto sensational dessert back many times christmas,neutro,5,positivo
excellent service welcoming care details meal many options menu dishes serve 2 3 people quickly bring starter main course dessert recommend hope return soon,positivo,5,positivo
good food pleasant place hearty dishes shrimp beautiful place large dish well located near hotels,positivo,5,positivo
incredible miss delicious shrimp dishes fair price food quality well served great option lunch dinner,positivo,5,positivo
incredible food took great care allergic shrimp best fish life,negativo,5,positivo
saw several comments saying good things restaurant decided check really see everything lol surprised everything never left shrimp good life going stay 7 days christmas plan eat 3 days returning rio going miss food treatment rating 10 everything perfect said waiter gabriel husband comments birthday wedding ordered dessert made affectionate recommend top restaurant best ever evaluation everything service food cleanliness etc even pure simple things thought wonderful gratin wonderful cheese touch,positivo,5,positivo
always service food environment drinks excellent starter ceviche wonderful,positivo,5,positivo
food incredible service value money great want go days eat sorry stayed days time,positivo,5,positivo
great place beautiful pleasant environment safety measures followed spectacular food,positivo,5,positivo
cozy restaurant excellent service reception food good truth fast expensive,positivo,5,positivo
dinner two restaurant loved tasty food good presentation great service come back,positivo,5,positivo
good food friendly atmosphere attentive staff consistent price service provided,positivo,5,positivo
restaurant follows covid protocols great service well served dishes excellent atmosphere mandatory come christmas,positivo,5,positivo
excellent best value money christmas restaurant excellent atmosphere service well served dishes fair price come natal cameroon mandatory stop,positivo,5,positivo
cozy place polite staff receptive undeniably wonderful food excellent seasoning enough quantity ate two people well still leftovers recommendation definitely come back christmas back cameroon,positivo,5,positivo
good wonderful food always come back wonderful place fair price great service easy access,positivo,5,positivo
pleasant restaurantfollow recommendations combat covid dishes arrive sealed menu qrcode disposable ordered dish called canto mangue delicious dish serves 2 people value paid r 13850 dessert ordered cocada maria beautiful naked nest recommend restaurant,positivo,5,positivo
excellent restaurant recommend night dinner ate lobster great exceptional service,positivo,5,positivo
excellent place couple followed tip waiter boy attentive helpful sorry remember name greek shrimp dish well served although sold 2 people serves well 3 dessert cup homemade ice cream delicious pistachio,positivo,5,positivo
good know restaurant represents christmas back active hope maintain quality made name city years,positivo,4,positivo
super pleasant restaurant polite service cuts sensational food deadlines well served delicious,positivo,5,positivo
worth trying restaurant dishes generous quantity individual serves two people two serves least three people tried shrimp delicious mangrove corner,positivo,5,positivo
doubt best christmas restaurant exceptional food top service stayed 5 days 2 times would go family wanted visit restaurants definitely recommend,positivo,5,positivo
good food fast service wonderful homemade ice cream dessert like atmosphere,positivo,5,positivo
fair price impeccable food tasty impeccable service generous food wonder success flaws ps best petit gateau life wonderful place,positivo,5,positivo
recife came spend christmas weekend looking local recommendations dinner found several restaurants cameroon saturday 12092020 well attended food arrived quickly delicious recommend,positivo,5,positivo
simply wonderful international cuisine excellence girlfriend well attended congratulations waiters attention given,positivo,5,positivo
spacious restaurant great value money wonderful food good service recommend,positivo,5,positivo
well organized restaurant respecting oms rules due covid food revives quickly tasty dishes well served fair price,positivo,5,positivo
undoubtedly best citytype establishment sun service quality education respect customers talk indescribably tasty products well served,positivo,5,positivo
differentiated restaurant high level fair price wonderful quality great service tuesdays crowded seems frequented,positivo,5,positivo
good food well served fair price worth visit welldecorated clean restaurant impeccable beautiful bathroom offers free parking,positivo,5,positivo
beautiful restaurant well attended dishes well served dishes well served prices good worth visit,positivo,5,positivo
good good restaurant pleasant atmosphere great location see lack options dishes traditional serve excellent people,positivo,4,positivo
think environment well set whim refinement staff service excellence education kindness food simply divine tasty dishes well made impeccable presentation desire go days tradition local success admirable merit,positivo,5,positivo
restaurant following covid 19 safety standards open hands quality flavor always waiter appropriate kind helpful,positivo,5,positivo
recommend dinner hotel good climate delicious dishes wonderful ceviche high value quality thought fair,positivo,5,positivo
1000 super recommend restaurant good tip eat well seafood things drinks,positivo,5,positivo
excellent food wonderful cleanliness excellent great parking service 10 best value money christmas,positivo,5,positivo
cameroon restaurant mandatory stop going christmas excellent food impeccable service always positively surprises,negativo,5,positivo
good restaurant good stay pleasant atmosphere great service wonderful food super recommended,positivo,5,positivo
delicious dishes international shrimp hum delicious service excellent environment well decorated clean,positivo,5,positivo
great atmosphere good food affordable prices natal restaurant maintains quality,positivo,5,positivo
despite many options individual customers dinner shitake shrimp salad incredibly delicious dessert ordered glass romeo juliet eating praying,neutro,5,positivo
impeccable restaurant everythingvery high quality serviceexquisite shrimp menuquality flavor ordered breaded shrimp risotto brie cheese red fruit saucevery good dishdessert ordered tiramisua deliciousgood prices loved every detail simply wonderful,positivo,5,positivo
despite tourist town beach prices tend demeaning case restaurant standard quality parisian shrimp dish excellent generous portion two people,positivo,5,positivo
meals excellent quality wide variety pleasant environment inconvenience high demand cause waiting,negativo,5,positivo
coconut bamboo style various types dishes specialized seafood service first course parisian shrimp tasty basil around 80 reais 2 recommend dish restaurant,neutro,5,positivo
arrived excellent restaurant fair price pleasant atmosphere service rating 10,positivo,5,positivo
excellent service dishes arrive quickly sensational food 3 christmas restaurants fantastic recommend vineyard casa,positivo,5,positivo
fish fruits touch potiguar personalized service obey law prohibit consumption lobsters februarymarcoabril say cheap near pay sao paulo,negativo,5,positivo
left joao pessoa direction pipa beach stopped christmas lunch chosen better place ordered shrimp flor sal exceptional well serviced location parking back street,neutro,5,positivo
dining shrimps amazing food delicious price good service rating 10 highly recommend,positivo,5,positivo
spectacular restaurant perfect moqueca super recommend restaurant always return come christmas,positivo,5,positivo
wonderful dishes service fair price surprised quality proposed restaurant,positivo,5,positivo
money would eat days good still able eat found yet still like first time go international shrimp care dish chef home,positivo,5,positivo
recommend shrimp sauce guaiamum well located great service cold beer,positivo,5,positivo
left hotel shortly numerous recommendations restaurant really worth service rating 10 food extreme quality fair value recommend,positivo,5,positivo
excellent restaurant first service good wines fair price varied menu highlights seafood highly recommended,positivo,5,positivo
restaurant say service good establishment food great christmas let go,positivo,5,positivo
wellequipped restaurant diverse dishes delicious meat top quality service,positivo,5,positivo
still good see lost excellence first time cameroon 2005 continued going almost annually 2 3 times year 2015 2016 live natal sao paulo went back last year checked prices increased little quantity dishes reduced well another point like waiters seemed lax giving little attention customer anyway give opinion changes business management pleasing,positivo,4,positivo
extremely refined place varied menu service excellence fair price great location culinary best quality go christmas go cameroon go vatican see pope,positivo,5,positivo
waiters helpful friends wonderful food best restaurant christmas,positivo,5,positivo
good restaurant simply wonderful food impeccable service friendly waiters,positivo,5,positivo
camaroes restaurant sensory experience reception impeccable service wonderful food closing delicious service liquor happily brought table adding value enchanting everything wonderful camaroes deserves highly recommended restaurant spectacular christmas,positivo,5,positivo
came christmas go shrimp love dishes well served delicious always come christmas mandatory stop,positivo,5,positivo
excellent food served quickly beautiful decoration good service weekends queue waiting 1900 long,positivo,5,positivo
super charming restaurant attentive polite waiters delicious food individual dishes two 3 people ordered dish 3 people well served natural juice bill cost less 17000 worth visit,positivo,5,positivo
shrimp first quality competent service kind waiters attentive dynamic service great quality,positivo,5,positivo
great food perfect service great location looking dishes shrimp place,positivo,5,positivo
variety good meals delicious food well served recommend several typical dishes flavor two floors second one offers good views,positivo,5,positivo
went kite lunch really worth beautiful restaurant beach view price great deal quality food excellent service careful allergy shrimp example certainly local come back often,positivo,5,positivo
pleasant atmosphere great food spectacular service opinion lack individual version item discredits service quality,negativo,5,positivo
really liked restaurant clean bathroom super clean delicious food ordered yellow hake passion fruit sauce pure banana terra deus drinks also super well prepared service ten grateful christmas surprise definitely recommend,positivo,5,positivo
wonderful restaurant impeccable food perfect service tasty food wonderful dessert,positivo,5,positivo
super pleasant atmosphere well decorated excellent fair price waiters rating 10 parking easy access,positivo,5,positivo
good restaurant best facilities dishes ate good especially pastries perfect shrimp plus helpful staff service,positivo,5,positivo
restaurant pleasant atmosphere good service great food tasty dishes quantities serve 03 people satisfactorily,positivo,4,positivo
first time curious exceeded expectations caveat wait get table delicious food definitely back,positivo,5,positivo
come christmas go restaurant incredibly delicious dishes impeccable service pleasant atmosphere price worth every penny,positivo,5,positivo
friend recommendation arrived restaurant repeats three dinners opted grilled prawns flor salt doubt best individual dishes fair price filling always come back christmas,positivo,5,positivo
wonderful restaurant great food attentive service honest price coming back christmas sure chosen,positivo,5,positivo
want eat well well served pay fair price visit cameroon best christmas regret,negativo,5,positivo
environment first sought necessary arrive early lunch dinner dishes beyond impeccable presentation preparation fresh shrimps well served snacks follow line recommend shrimp pastries service also exemplary attentive stupidly cold beer varied wine list miss order,negativo,5,positivo
good get early 1900 otherwise long wait recommend trying sicilian lemon tilapia risotto,positivo,5,positivo
5 days stayed christmas 3 shrimps two units ponta negra defects wonderful food well served fair price good service pleasant atmosphere good taste miss,negativo,5,positivo
celebrate birthday husband arrived scared line waiting 40 minutes rewarded wonderful pastel camarao 5 people ordered 3 dishes ate well straight away repetition dishes well served delicious super pleasant place excellent service,positivo,5,positivo
liked ordered golden risotto sicilian lemon almonds simply divine pleasant atmosphere super valid price,positivo,4,positivo
great service dish ready super fast super recommend christmas back ctz watch peak times say queue waiting arrive queue returns 14 hours,positivo,5,positivo
dinner celebrate birthday daughter excellent choice beautiful restaurant delicious food shrimp pasta super attentive service daughter wonderful dessert congratulations team,positivo,5,positivo
wonderful food tasty affordable price great atmosphere best restaurants,positivo,5,positivo
prepare wait line worth waiting week new year eve crowded delicious food super fast service thought food would bad everything standard excellent highly recommend,positivo,5,positivo
quality speed comfort wonderful dishes best service christmas say best brazil,positivo,5,positivo
best christmas restaurant tried 3 impeccable dishes certainly back,positivo,5,positivo
recent visit excellent restaurant dared leave traditional dishes shrimps ordered fish regret wonderful small caveat menu indicated dish served 3 people three adults leave unsatisfied ordered starter,negativo,4,positivo
restaurants find ponta negra spectacle part start architecture surprised quality food price dishes well served fair price worth ordering traditional pastel shrimp main course problem see always think temperature hot air conditioning could cold restaurant receive many people arrived feeling ill heat,negativo,4,positivo
cozy atmosphere good food excellent service staff tip avoid lunch beaches snacking day pay price dinner camaroes,negativo,5,positivo
made two trips christmas restaurant wonderful food love international shrimp food spectacular flavor ingredients quality divine shrimp quantity fair prices offered wonderful service,positivo,5,positivo
great service parking wonderful typical food clean spacious bathroom excellent starter main course eat dessert already satisfied definitely back,positivo,5,positivo
shrimp shrimp shrimp excellent structure service dishes large group well attended quickly ordered shrimp shrimp dish tasty sesame recommend,positivo,5,positivo
lunch husband surprised shrimps local beauty friendliness waiter ordered shrimp pastries starter date best ever eaten lol dish chose greek shrimp easily served three people cost r 8990 simply delicious spectacular found establishment charges fair price quality refinement delivery preparation presentation dishes return christmas back doubts restaurant,positivo,5,positivo
really everything written true restaurant wonderful food wonderful portions satisfactory spectacular service highlights waiter gabriel charm pastel shrimp gods recommend,positivo,5,positivo
meet enjoying holidays celebrate birthday fair price wonderful food well served unique service even got wonderful cupcake congratulations thank shrimps christmas,positivo,5,positivo
camaroes sure good food efficient service delicious atmosphere want eat well right order,positivo,5,positivo
excellent food place wonderful service everything good definitely come back christmas,positivo,5,positivo
cozy restaurant clean excellent food pleasant atmosphere short wait parking back street,positivo,5,positivo
excellent dishes presentation service flavor environment cost excellent wonderful flavor recommend,positivo,5,positivo
excellent service good food fair price beach front ponta negra careful arriving restaurant top floor another restaurant,positivo,4,positivo
already knew restaurant favorite dish extremely acidic ceviche eat told waiter imported,positivo,3,neutro
cameroon unbeatable service impeccable unique service gastronomy delights dishes speak symphony leaves taste buds travel dreams unmissable place visit,positivo,5,positivo
restaurant well located wonderful food polite staff think food expensive,positivo,4,positivo
decoration restaurant beautiful excellent infrastructure several rooms serving public impeccable service super fast drinks delicious dishes,positivo,5,positivo
fantastic place excellent service wonderful food fair price quality offered,positivo,5,positivo
service food impeccable good atmosphere meet friends meet family busy,positivo,4,positivo
excellent service tasty food staff always attentive polite coming christmas miss cameroon restaurant recommend,positivo,5,positivo
recommend gastronomy excellence family atmosphere tasty dishes serves 3 people fair price,positivo,5,positivo
pleasant atmosphere tasty food affordable prices recommend chain restaurants enjoy sophisticated charming dishes,positivo,5,positivo
tasty food plentiful impeccable service arrive early kilometric queue enjoyed shrimp strawberry filet catupiry delicious,positivo,5,positivo
good service friendly waiters attentive food good combinations different flavors harmonize well starter ordered bruschetta tapioca shrimp price around 30 reais sensational main course ordered crispy shrimp risotto brie 104 two people good eat serves 3 people order starter could eat dessert diverse wine list,positivo,4,positivo
come christmas eat prawns make wasted trip people natal live restaurant excellent option go special dates restaurant excellent options dishes prawns obviously also meat chicken pork well served depending dish serves well 3 4 people thus making great value money structure service excellent differentiated desserts divine like pasteuzinho shrimp true type place go regret everything delicious know restaurant recommend shrimp chef canto mangue file catupiry petit dessert gateau sweet milk,positivo,5,positivo
cozy restaurant delicious food fair price attentive staff pleasant place recommend,positivo,5,positivo
wonderful restaurant decoration rating 10 impeccable service good price worth eating,positivo,4,positivo
restaurant reference food simply perfect service speak highlight mariano excellent professional extremely welcoming ate parisian shrimp delicious portion well served incredible atmosphere always recommend,positivo,5,positivo
pass black point go shrimps lol imagine coconut bamboo imagined thought better attractive price 3 people ordered dish say serves 2 people dishes well served decoration place also beautiful entrance lounge wait table fruits served daily fruit pieces pineapple caja handmade cachacinha tasting sorry lost photos took ah ponta negra 2 restaurants nearby another another chama camoes potiguar owners,neutro,5,positivo
january spent holidays christmas opportunity dinner place twice simply loved delicious food impeccable service,positivo,5,positivo
beautiful restaurant excellent service delicious dishes everything perfect special christmas dinner,positivo,5,positivo
delicious food great service attended daughter 3 years old paintings entertainment delicious food reasonable prices espipo kids arrive early gets crowded,positivo,5,positivo
quick service pleasant atmosphere worth waiters attentive helpful honest price food quality,positivo,5,positivo
already tradition city food excellent quality impeccable service fair price worth visiting,positivo,5,positivo
nice place room temperature ok food better still good service price little high worth,positivo,5,positivo
pleasant place contemporary decor attentive staff efficient varied menu meat seafood generous portions generally serve 2 3 people recommend always come back,positivo,5,positivo
mandatory option christmas visit spectacular restaurant tasty fried food sophisticated fair price six people ate two dishes leftovers perfect service,positivo,5,positivo
super cozy atmosphere excellent service fair price delicious dish super well served desserts show part,positivo,5,positivo
come christmas let go restaurant best value money city food best quality fair price,positivo,5,positivo
pleasant atmosphere beautiful family good view excellent service well prepared dishes doubt best option christmas recommend family 4 ate well r150 excellent value money,positivo,5,positivo
always option run risk making mistakes perfect service flavor satisfaction guaranteed best value money,negativo,5,positivo
